Obec,ico,Obyvatelia_spolu,Muzi,Zeny
Babie,332241,230,108,122
Banské,332259,1906,969,937
Benkovce,332267,557,253,304
Bystré,332275,2745,1388,1357
Cabov,332283,383,190,193
Čaklov,332291,2687,1329,1358
Čičava,332305,1288,632,656
Čierne nad Topľou,332313,719,353,366
Davidov,332330,781,376,405
Detrík,332348,54,23,31
Dlhé Klčovo,332356,1372,687,685
Ďapalovce,332321,433,209,224
Ďurďoš,332364,256,129,127
Giglovce,332372,146,74,72
Girovce,332381,55,29,26
Hencovce,35532319,1311,652,659
Hermanovce nad Topľou,332402,688,347,341
Hlinné,332411,1887,971,916
Holčíkovce,332429,419,211,208
Jasenovce,332437,213,114,99
Jastrabie nad Topľou,332445,487,261,226
Juskova Voľa,332453,296,150,146
Kladzany,332470,536,272,264
Komárany,332488,505,241,264
Kvakovce,332518,412,226,186
Majerovce,332526,449,217,232
Malá Domaša,332534,639,322,317
Matiaška,332542,290,140,150
Medzianky,332551,299,155,144
Merník,332569,614,311,303
Michalok,332577,276,148,128
Nižný Hrabovec,332593,1625,812,813
Nižný Hrušov,332607,1508,736,772
Nižný Kručov,332615,387,177,210
Nová Kelča,332623,330,164,166
Ondavské Matiašovce,332631,805,412,393
Petkovce,332666,135,71,64
Piskorovce,332682,117,60,57
Poša,332691,941,468,473
Prosačov,332712,211,104,107
Radvanovce,332721,218,103,115
Rafajovce,332739,165,81,84
Remeniny,332747,273,144,129
Rudlov,332763,687,335,352
Ruská Voľa,332798,86,44,42
Sačurov,332810,2478,1241,1237
Sečovská Polianka,332828,2701,1352,1349
Sedliská,332836,1477,739,738
Skrabské,332844,775,388,387
Slovenská Kajňa,332852,727,344,383
Soľ,332861,2629,1333,1296
Tovarné,332887,992,507,485
Tovarnianska Polianka,332895,110,53,57
Vavrinec,332909,55,31,24
Vechec,332925,2837,1398,1439
Vlača,332917,226,111,115
Vyšný Kazimír,332801,188,94,94
Vyšný Žipov,332950,1142,567,575
Zámutov,332968,3290,1644,1646
Zlatník,332984,76,40,36
Žalobín,332992,819,393,426
Vranov nad Topľou,332933,21248,10330,10918
Hanušovce nad Topľou,332399,3777,1872,1905
