Obec,ico,zamestnanec,podnikateľ,iné,nezistené
Babie,332241,80,18,0,14
Banské,332259,357,81,2,46
Benkovce,332267,167,31,2,33
Bystré,332275,785,161,2,217
Cabov,332283,121,38,0,8
Čaklov,332291,616,132,0,63
Čičava,332305,208,51,4,26
Čierne nad Topľou,332313,254,38,3,39
Davidov,332330,247,74,3,39
Detrík,332348,13,1,0,4
Dlhé Klčovo,332356,397,170,3,50
Ďapalovce,332321,142,30,0,19
Ďurďoš,332364,66,15,1,8
Giglovce,332372,55,10,0,2
Girovce,332381,22,5,0,1
Hencovce,35532319,408,107,1,56
Hermanovce nad Topľou,332402,216,49,3,36
Hlinné,332411,473,100,7,51
Holčíkovce,332429,151,44,1,22
Jasenovce,332437,66,15,0,16
Jastrabie nad Topľou,332445,111,30,0,27
Juskova Voľa,332453,106,22,0,7
Kladzany,332470,164,36,0,24
Komárany,332488,146,42,2,24
Kvakovce,332518,120,39,1,31
Majerovce,332526,160,31,0,21
Malá Domaša,332534,165,41,1,25
Matiaška,332542,75,34,0,12
Medzianky,332551,121,14,1,12
Merník,332569,208,60,0,21
Michalok,332577,77,33,1,14
Nižný Hrabovec,332593,407,103,3,64
Nižný Hrušov,332607,501,72,6,76
Nižný Kručov,332615,115,45,2,17
Nová Kelča,332623,106,24,0,36
Ondavské Matiašovce,332631,197,30,0,29
Petkovce,332666,46,12,0,3
Piskorovce,332682,31,9,0,9
Poša,332691,177,23,0,43
Prosačov,332712,29,3,0,12
Radvanovce,332721,80,22,0,9
Rafajovce,332739,39,8,0,15
Remeniny,332747,83,31,1,12
Rudlov,332763,183,30,1,27
Ruská Voľa,332798,11,4,0,4
Sačurov,332810,475,191,2,48
Sečovská Polianka,332828,728,260,5,130
Sedliská,332836,337,100,3,88
Skrabské,332844,179,34,2,32
Slovenská Kajňa,332852,215,54,0,53
Soľ,332861,578,139,1,108
Tovarné,332887,287,65,0,59
Tovarnianska Polianka,332895,37,9,0,5
Vavrinec,332909,16,5,0,3
Vechec,332925,612,137,3,65
Vlača,332917,70,15,0,3
Vyšný Kazimír,332801,71,14,0,6
Vyšný Žipov,332950,352,81,3,58
Zámutov,332968,687,125,1,98
Zlatník,332984,19,7,0,5
Žalobín,332992,158,36,0,32
Vranov nad Topľou,332933,6806,1585,45,1083
Hanušovce nad Topľou,332399,1080,271,11,146
